"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jan 24 20:13:25 CST 2021","Sun Jan 24 20:13:26 CST 2021","557","testcases.contacts","test_department","TestDepartment","","","test_get_department_list[cases0]",""
"passed","Sun Jan 24 20:13:27 CST 2021","Sun Jan 24 20:13:28 CST 2021","588","testcases.contacts","test_department","TestDepartment","","","test_delete_department[cases0]",""
"passed","Sun Jan 24 20:13:24 CST 2021","Sun Jan 24 20:13:25 CST 2021","580","testcases.contacts","test_department","TestDepartment","","","test_update_department[cases0]",""
"passed","Sun Jan 24 20:13:27 CST 2021","Sun Jan 24 20:13:27 CST 2021","534","testcases.contacts","test_department","TestDepartment","","","test_get_department_list[cases2]",""
"passed","Sun Jan 24 20:13:25 CST 2021","Sun Jan 24 20:13:25 CST 2021","558","testcases.contacts","test_department","TestDepartment","","","test_update_department[cases1]",""
"passed","Sun Jan 24 20:13:28 CST 2021","Sun Jan 24 20:13:28 CST 2021","605","testcases.contacts","test_department","TestDepartment","","","test_delete_department[cases1]",""
"passed","Sun Jan 24 20:13:26 CST 2021","Sun Jan 24 20:13:27 CST 2021","547","testcases.contacts","test_department","TestDepartment","","","test_get_department_list[cases1]",""
"passed","Sun Jan 24 20:13:24 CST 2021","Sun Jan 24 20:13:24 CST 2021","551","testcases.contacts","test_department","TestDepartment","","","test_creat_department[cases2]",""
"passed","Sun Jan 24 20:13:23 CST 2021","Sun Jan 24 20:13:23 CST 2021","596","testcases.contacts","test_department","TestDepartment","","","test_creat_department[cases0]",""
"passed","Sun Jan 24 20:13:23 CST 2021","Sun Jan 24 20:13:24 CST 2021","566","testcases.contacts","test_department","TestDepartment","","","test_creat_department[cases1]",""
"passed","Sun Jan 24 20:13:28 CST 2021","Sun Jan 24 20:13:29 CST 2021","553","testcases.contacts","test_department","TestDepartment","","","test_delete_department[cases2]",""
